ICD10,CC,MCE_AGE_CONDITION,AGE_EDIT_CONDITION,SEX_EDIT_CONDITION
C8398,10.0,,,
C8399,10.0,,,
C839A,10.0,,,
C8400,10.0,,,
C8401,10.0,,,
C8402,10.0,,,
C8403,10.0,,,
C8404,10.0,,,
C8405,10.0,,,
C8406,10.0,,,
C8407,10.0,,,
C8408,10.0,,,
C8409,10.0,,,
C840A,10.0,,,
C8410,10.0,,,
C8411,10.0,,,
C8412,10.0,,,
C8413,10.0,,,
C8414,10.0,,,
C8415,10.0,,,
C8416,10.0,,,
C8417,10.0,,,
C8418,10.0,,,
C8419,10.0,,,
C841A,10.0,,,
C8440,10.0,,,
C8441,10.0,,,
C8442,10.0,,,
C8443,10.0,,,
C8444,10.0,,,
C8445,10.0,,,
C8446,10.0,,,
C8447,10.0,,,
C8448,10.0,,,
C8449,10.0,,,
C844A,10.0,,,
C8460,10.0,,,
C8461,10.0,,,
C8462,10.0,,,
C8463,10.0,,,
C8464,10.0,,,
C8465,10.0,,,
C8466,10.0,,,
C8467,10.0,,,
C8468,10.0,,,
C8469,10.0,,,
C846A,10.0,,,
C8470,10.0,,,
C8471,10.0,,,
C8472,10.0,,,
C8473,10.0,,,
C8474,10.0,,,
C8475,10.0,,,
C8476,10.0,,,
C8477,10.0,,,
C8478,10.0,,,
C8479,10.0,,,
C847A,10.0,,,
C847B,10.0,,,
C8490,10.0,,,
C8491,10.0,,,
C8492,10.0,,,
C8493,10.0,,,
C8494,10.0,,,
C8495,10.0,,,
C8496,10.0,,,
C8497,10.0,,,
C8498,10.0,,,
C8499,10.0,,,
C849A,10.0,,,
C84A0,10.0,,,
C84A1,10.0,,,
C84A2,10.0,,,
C84A3,10.0,,,
C84A4,10.0,,,
C84A5,10.0,,,
C84A6,10.0,,,
C84A7,10.0,,,
C84A8,10.0,,,
C84A9,10.0,,,
C84AA,10.0,,,
C84Z0,10.0,,,
C84Z1,10.0,,,
C84Z2,10.0,,,
C84Z3,10.0,,,
C84Z4,10.0,,,
C84Z5,10.0,,,
C84Z6,10.0,,,
C84Z7,10.0,,,
C84Z8,10.0,,,
C84Z9,10.0,,,
C84ZA,10.0,,,
C8510,10.0,,,
C8511,10.0,,,
C8512,10.0,,,
C8513,10.0,,,
C8514,10.0,,,
C8515,10.0,,,
C8516,10.0,,,
C8517,10.0,,,
C8518,10.0,,,
C8519,10.0,,,
C851A,10.0,,,
